BroodYr,Spawn,Recruit
1980,98673,211135
1981,84407,271949
1982,103038,346468
1983,80141,419501
1984,100781,349004
1985,69141,225095
1986,88024,291248
1987,94208,229302
1988,81274,66400
1989,54900,50404
1990,76119,13001
1991,92375,72785
1992,77601,77530
1993,52080,16297
1994,37007,25637
1995,7177,50663
1996,50739,142218
1997,44254,87746
1998,12335,63183
1999,19284,174835
2000,43555,100175
2001,76283,217458
2002,58361,177002
2003,75065,48633
2004,77660,51546
2005,51178,116397
2006,96203,80560
2007,72678,251010
2008,33117,61776
2009,33705,174620
